City,Temperature (°C),Min_Temperature (°C),Max_Temperature (°C),Feels_Like (°C),Pressure (hpa),Weather,Humidity (%),Wind Speed (m/s),TimeZone (sec)
Kāranja,27.46,27.46,27.46,26.27,1011,scattered clouds,15,2.6,19800
Yavatmal,26.41,26.41,26.41,26.41,1011,scattered clouds,17,2.37,19800
Pusad,27.89,27.89,27.89,26.6,1011,scattered clouds,17,2.68,19800
Arni,26.33,26.33,26.33,26.33,1008,overcast clouds,72,2.75,19800
Wani,27.08,27.08,27.08,26.11,1011,overcast clouds,19,2.02,19800
Digras,27.75,27.75,27.75,26.49,1011,scattered clouds,16,2.37,19800
Akola,28.3,28.3,28.3,26.86,1011,scattered clouds,15,1.92,19800
Pātūr,27.96,27.96,27.96,26.62,1011,scattered clouds,15,2.38,19800
Telhāra,27.84,27.84,27.84,26.55,1011,scattered clouds,16,1.43,19800
Amrāvati,27.65,27.65,27.65,26.42,1011,few clouds,16,1.46,19800
Morshi,27.93,27.93,27.93,26.63,1011,clear sky,17,1.24,19800
Chāndūr Bāzār,27.54,27.54,27.54,26.39,1011,clear sky,18,1.31,19800
Achalpur,27.65,27.65,27.65,26.46,1011,few clouds,18,1.73,19800
Nandgaon Khandeshwar,27.73,27.73,27.73,26.47,1011,scattered clouds,16,2.06,19800
Alibag,26.46,26.46,26.46,26.46,1010,overcast clouds,33,3.19,19800
Uran,30.98,28.94,30.98,30.12,1010,overcast clouds,34,3.65,19800
Panvel,31.04,31.04,31.04,29.2,1009,overcast clouds,22,2.8,19800
Karjat,31.96,31.96,31.96,29.74,1009,overcast clouds,14,2.62,19800
Khalapur,32.07,32.07,32.07,29.88,1009,overcast clouds,16,2.89,19800
Wāshīm,27.42,27.42,27.42,26.24,1011,scattered clouds,15,2.64,19800
Khāmgaon,28.33,28.33,28.33,26.88,1011,scattered clouds,15,2.33,19800
Manora,27.43,27.43,27.43,26.31,1011,broken clouds,18,1.48,19800
Pusad,27.89,27.89,27.89,26.6,1011,scattered clouds,17,2.68,19800
